,gvkey_focal,year,gvkey1,gvkey2,score,gvkey_peer,focal_ticker,focal_company_name,focal_cik,focal_primary_sic,peer_ticker,peer_company_name
1161,003813,1990,3813,12141,0.0447,012141,TGT,Target Corp.,0000027419,5331,MSFT,Microsoft Corp.
1270,004016,1990,4016,11259,0.0026,011259,DG,Dollar General Corp.,0000029534,5331,WMT,Walmart Inc.
1280,005680,1990,5680,2184,0.0056,002184,HD,Home Depot Inc.,0000354950,5251,BBY,Best Buy Co. Inc.
1335,006502,1990,6502,11259,0.0399,011259,KR,Kroger Co.,0000056873,5411,WMT,Walmart Inc.
1336,006502,1990,6502,11264,0.0406,011264,KR,Kroger Co.,0000056873,5411,WBA,Walgreens Boots Alliance Inc.
1338,006502,1990,6502,11672,0.0621,011672,KR,Kroger Co.,0000056873,5411,TJX,TJX Companies Inc.
1386,011259,1990,11259,4016,0.0026,004016,WMT,Walmart Inc.,0000104169,5331,DG,Dollar General Corp.
1395,011259,1990,11259,6502,0.0399,006502,WMT,Walmart Inc.,0000104169,5331,KR,Kroger Co.
1409,011259,1990,11259,11672,0.0073,011672,WMT,Walmart Inc.,0000104169,5331,TJX,TJX Companies Inc.
1410,011259,1990,11259,11814,0.0306,011814,WMT,Walmart Inc.,0000104169,5331,COST,Costco Wholesale Corp.
1431,011264,1990,11264,6502,0.0406,006502,WBA,Walgreens Boots Alliance Inc.,0001618921,5912,KR,Kroger Co.
1479,011672,1990,11672,6502,0.0621,006502,TJX,TJX Companies Inc.,0000109198,5651,KR,Kroger Co.
1506,011672,1990,11672,11259,0.0073,011259,TJX,TJX Companies Inc.,0000109198,5651,WMT,Walmart Inc.
1538,011814,1990,11814,2184,0.0247,002184,COST,Costco Wholesale Corp.,0000909832,5331,BBY,Best Buy Co. Inc.
1566,011814,1990,11814,11259,0.0306,011259,COST,Costco Wholesale Corp.,0000909832,5331,WMT,Walmart Inc.
1601,012141,1990,12141,1690,0.0329,001690,MSFT,Microsoft Corp.,0000789019,7372,AAPL,Apple Inc.
1617,012141,1990,12141,3813,0.0447,003813,MSFT,Microsoft Corp.,0000789019,7372,TGT,Target Corp.
1774,001690,1991,1690,12141,0.0147,012141,AAPL,Apple Inc.,0000320193,3571,MSFT,Microsoft Corp.
1828,003813,1991,3813,11672,0.0035,011672,TGT,Target Corp.,0000027419,5331,TJX,TJX Companies Inc.
1829,003813,1991,3813,11814,0.006,011814,TGT,Target Corp.,0000027419,5331,COST,Costco Wholesale Corp.
1866,004016,1991,4016,6502,0.0019,006502,DG,Dollar General Corp.,0000029534,5331,KR,Kroger Co.
1875,004016,1991,4016,11259,0.0387,011259,DG,Dollar General Corp.,0000029534,5331,WMT,Walmart Inc.
1876,004016,1991,4016,11672,0.0841,011672,DG,Dollar General Corp.,0000029534,5331,TJX,TJX Companies Inc.
1896,005680,1991,5680,11672,0.0033,011672,HD,Home Depot Inc.,0000354950,5251,TJX,TJX Companies Inc.
1923,006502,1991,6502,4016,0.0019,004016,KR,Kroger Co.,0000056873,5411,DG,Dollar General Corp.
1936,006502,1991,6502,6829,0.0051,006829,KR,Kroger Co.,0000056873,5411,LOW,Lowes Companies Inc.
1951,006502,1991,6502,11259,0.0427,011259,KR,Kroger Co.,0000056873,5411,WMT,Walmart Inc.
1952,006502,1991,6502,11264,0.0063,011264,KR,Kroger Co.,0000056873,5411,WBA,Walgreens Boots Alliance Inc.
1954,006502,1991,6502,11672,0.0754,011672,KR,Kroger Co.,0000056873,5411,TJX,TJX Companies Inc.
1974,006829,1991,6829,6502,0.0051,006502,LOW,Lowes Companies Inc.,0000060667,5251,KR,Kroger Co.
1976,006829,1991,6829,7241,0.0156,007241,LOW,Lowes Companies Inc.,0000060667,5251,CVS,CVS Health Corp.
1994,007241,1991,7241,6829,0.0156,006829,CVS,CVS Health Corp.,0000064803,5912,LOW,Lowes Companies Inc.
2007,007241,1991,7241,11672,0.0028,011672,CVS,CVS Health Corp.,0000064803,5912,TJX,TJX Companies Inc.
2020,011259,1991,11259,4016,0.0387,004016,WMT,Walmart Inc.,0000104169,5331,DG,Dollar General Corp.
2028,011259,1991,11259,6502,0.0427,006502,WMT,Walmart Inc.,0000104169,5331,KR,Kroger Co.
2044,011259,1991,11259,11672,0.044,011672,WMT,Walmart Inc.,0000104169,5331,TJX,TJX Companies Inc.
2045,011259,1991,11259,11814,0.0178,011814,WMT,Walmart Inc.,0000104169,5331,COST,Costco Wholesale Corp.
2067,011264,1991,11264,6502,0.0063,006502,WBA,Walgreens Boots Alliance Inc.,0001618921,5912,KR,Kroger Co.
2089,011672,1991,11672,3813,0.0035,003813,TJX,TJX Companies Inc.,0000109198,5651,TGT,Target Corp.
2091,011672,1991,11672,4016,0.0841,004016,TJX,TJX Companies Inc.,0000109198,5651,DG,Dollar General Corp.
2107,011672,1991,11672,5680,0.0033,005680,TJX,TJX Companies Inc.,0000109198,5651,HD,Home Depot Inc.
2113,011672,1991,11672,6502,0.0754,006502,TJX,TJX Companies Inc.,0000109198,5651,KR,Kroger Co.
2117,011672,1991,11672,7241,0.0028,007241,TJX,TJX Companies Inc.,0000109198,5651,CVS,CVS Health Corp.
2148,011672,1991,11672,11259,0.044,011259,TJX,TJX Companies Inc.,0000109198,5651,WMT,Walmart Inc.
2202,011814,1991,11814,3813,0.006,003813,COST,Costco Wholesale Corp.,0000909832,5331,TGT,Target Corp.
2223,011814,1991,11814,11259,0.0178,011259,COST,Costco Wholesale Corp.,0000909832,5331,WMT,Walmart Inc.
2256,012141,1991,12141,1690,0.0147,001690,MSFT,Microsoft Corp.,0000789019,7372,AAPL,Apple Inc.
2434,001690,1992,1690,12141,0.0072,012141,AAPL,Apple Inc.,0000320193,3571,MSFT,Microsoft Corp.
2471,002184,1992,2184,5680,0.0052,005680,BBY,Best Buy Co. Inc.,0000764478,5731,HD,Home Depot Inc.
2479,002184,1992,2184,11259,0.013,011259,BBY,Best Buy Co. Inc.,0000764478,5731,WMT,Walmart Inc.
2480,002184,1992,2184,11814,0.037,011814,BBY,Best Buy Co. Inc.,0000764478,5731,COST,Costco Wholesale Corp.
2613,004016,1992,4016,11672,0.0113,011672,DG,Dollar General Corp.,0000029534,5331,TJX,TJX Companies Inc.
2619,005680,1992,5680,2184,0.0052,002184,HD,Home Depot Inc.,0000354950,5251,BBY,Best Buy Co. Inc.
2664,006829,1992,6829,11259,0.0227,011259,LOW,Lowes Companies Inc.,0000060667,5251,WMT,Walmart Inc.
2665,006829,1992,6829,11264,0.0131,011264,LOW,Lowes Companies Inc.,0000060667,5251,WBA,Walgreens Boots Alliance Inc.
2667,006829,1992,6829,11672,0.0593,011672,LOW,Lowes Companies Inc.,0000060667,5251,TJX,TJX Companies Inc.
2701,007241,1992,7241,11672,0.0,011672,CVS,CVS Health Corp.,0000064803,5912,TJX,TJX Companies Inc.
2709,011259,1992,11259,2184,0.013,002184,WMT,Walmart Inc.,0000104169,5331,BBY,Best Buy Co. Inc.
2717,011259,1992,11259,6829,0.0227,006829,WMT,Walmart Inc.,0000104169,5331,LOW,Lowes Companies Inc.
2726,011259,1992,11259,11672,0.027,011672,WMT,Walmart Inc.,0000104169,5331,TJX,TJX Companies Inc.
2727,011259,1992,11259,11814,0.0077,011814,WMT,Walmart Inc.,0000104169,5331,COST,Costco Wholesale Corp.
2752,011264,1992,11264,6829,0.0131,006829,WBA,Walgreens Boots Alliance Inc.,0001618921,5912,LOW,Lowes Companies Inc.
2775,011672,1992,11672,4016,0.0113,004016,TJX,TJX Companies Inc.,0000109198,5651,DG,Dollar General Corp.
2788,011672,1992,11672,6829,0.0593,006829,TJX,TJX Companies Inc.,0000109198,5651,LOW,Lowes Companies Inc.
2789,011672,1992,11672,7241,0.0,007241,TJX,TJX Companies Inc.,0000109198,5651,CVS,CVS Health Corp.
2811,011672,1992,11672,11259,0.027,011259,TJX,TJX Companies Inc.,0000109198,5651,WMT,Walmart Inc.
2850,011814,1992,11814,2184,0.037,002184,COST,Costco Wholesale Corp.,0000909832,5331,BBY,Best Buy Co. Inc.
2869,011814,1992,11814,11259,0.0077,011259,COST,Costco Wholesale Corp.,0000909832,5331,WMT,Walmart Inc.
2900,012141,1992,12141,1690,0.0072,001690,MSFT,Microsoft Corp.,0000789019,7372,AAPL,Apple Inc.
3125,001690,1993,1690,12141,0.0422,012141,AAPL,Apple Inc.,0000320193,3571,MSFT,Microsoft Corp.
3213,002184,1993,2184,3813,0.0158,003813,BBY,Best Buy Co. Inc.,0000764478,5731,TGT,Target Corp.
3220,002184,1993,2184,6829,0.0232,006829,BBY,Best Buy Co. Inc.,0000764478,5731,LOW,Lowes Companies Inc.
3231,002184,1993,2184,11672,0.0215,011672,BBY,Best Buy Co. Inc.,0000764478,5731,TJX,TJX Companies Inc.
3285,003813,1993,3813,2184,0.0158,002184,TGT,Target Corp.,0000027419,5331,BBY,Best Buy Co. Inc.
3290,003813,1993,3813,5680,0.0072,005680,TGT,Target Corp.,0000027419,5331,HD,Home Depot Inc.
3291,003813,1993,3813,6829,0.0238,006829,TGT,Target Corp.,0000027419,5331,LOW,Lowes Companies Inc.
3753,004611,1993,4611,7241,0.0026,007241,M,Macys Inc.,0000794367,5311,CVS,CVS Health Corp.
3763,005680,1993,5680,3813,0.0072,003813,HD,Home Depot Inc.,0000354950,5251,TGT,Target Corp.
3767,005680,1993,5680,6829,0.0037,006829,HD,Home Depot Inc.,0000354950,5251,LOW,Lowes Companies Inc.
3776,006829,1993,6829,2184,0.0232,002184,LOW,Lowes Companies Inc.,0000060667,5251,BBY,Best Buy Co. Inc.
3784,006829,1993,6829,3813,0.0238,003813,LOW,Lowes Companies Inc.,0000060667,5251,TGT,Target Corp.
3791,006829,1993,6829,5680,0.0037,005680,LOW,Lowes Companies Inc.,0000060667,5251,HD,Home Depot Inc.
3804,006829,1993,6829,11672,0.0216,011672,LOW,Lowes Companies Inc.,0000060667,5251,TJX,TJX Companies Inc.
3856,007241,1993,7241,4611,0.0026,004611,CVS,CVS Health Corp.,0000064803,5912,M,Macys Inc.
3872,007241,1993,7241,11672,0.0321,011672,CVS,CVS Health Corp.,0000064803,5912,TJX,TJX Companies Inc.
3901,011259,1993,11259,11672,0.0439,011672,WMT,Walmart Inc.,0000104169,5331,TJX,TJX Companies Inc.
3931,011672,1993,11672,2184,0.0215,002184,TJX,TJX Companies Inc.,0000109198,5651,BBY,Best Buy Co. Inc.
3955,011672,1993,11672,6829,0.0216,006829,TJX,TJX Companies Inc.,0000109198,5651,LOW,Lowes Companies Inc.
3956,011672,1993,11672,7241,0.0321,007241,TJX,TJX Companies Inc.,0000109198,5651,CVS,CVS Health Corp.
3978,011672,1993,11672,11259,0.0439,011259,TJX,TJX Companies Inc.,0000109198,5651,WMT,Walmart Inc.
4052,012141,1993,12141,1690,0.0422,001690,MSFT,Microsoft Corp.,0000789019,7372,AAPL,Apple Inc.
4335,001690,1994,1690,12141,0.0605,012141,AAPL,Apple Inc.,0000320193,3571,MSFT,Microsoft Corp.
4461,002184,1994,2184,5680,0.0095,005680,BBY,Best Buy Co. Inc.,0000764478,5731,HD,Home Depot Inc.
4463,002184,1994,2184,6829,0.0268,006829,BBY,Best Buy Co. Inc.,0000764478,5731,LOW,Lowes Companies Inc.
4479,002184,1994,2184,11259,0.0174,011259,BBY,Best Buy Co. Inc.,0000764478,5731,WMT,Walmart Inc.
4480,002184,1994,2184,11672,0.0729,011672,BBY,Best Buy Co. Inc.,0000764478,5731,TJX,TJX Companies Inc.
4579,004016,1994,4016,4611,0.0046,004611,DG,Dollar General Corp.,0000029534,5331,M,Macys Inc.
4582,004016,1994,4016,7241,0.0095,007241,DG,Dollar General Corp.,0000029534,5331,CVS,CVS Health Corp.
4587,004016,1994,4016,11672,0.0299,011672,DG,Dollar General Corp.,0000029534,5331,TJX,TJX Companies Inc.
4601,004611,1994,4611,4016,0.0046,004016,M,Macys Inc.,0000794367,5311,DG,Dollar General Corp.
4604,004611,1994,4611,7241,0.0129,007241,M,Macys Inc.,0000794367,5311,CVS,CVS Health Corp.
4619,005680,1994,5680,2184,0.0095,002184,HD,Home Depot Inc.,0000354950,5251,BBY,Best Buy Co. Inc.
4663,006502,1994,6502,11259,0.0907,011259,KR,Kroger Co.,0000056873,5411,WMT,Walmart Inc.
4664,006502,1994,6502,11264,0.002,011264,KR,Kroger Co.,0000056873,5411,WBA,Walgreens Boots Alliance Inc.
4667,006502,1994,6502,11672,0.0382,011672,KR,Kroger Co.,0000056873,5411,TJX,TJX Companies Inc.
4695,006829,1994,6829,2184,0.0268,002184,LOW,Lowes Companies Inc.,0000060667,5251,BBY,Best Buy Co. Inc.
4760,007241,1994,7241,4016,0.0095,004016,CVS,CVS Health Corp.,0000064803,5912,DG,Dollar General Corp.
4765,007241,1994,7241,4611,0.0129,004611,CVS,CVS Health Corp.,0000064803,5912,M,Macys Inc.
4785,007241,1994,7241,11672,0.0645,011672,CVS,CVS Health Corp.,0000064803,5912,TJX,TJX Companies Inc.
4803,011259,1994,11259,2184,0.0174,002184,WMT,Walmart Inc.,0000104169,5331,BBY,Best Buy Co. Inc.
4818,011259,1994,11259,6502,0.0907,006502,WMT,Walmart Inc.,0000104169,5331,KR,Kroger Co.
4833,011259,1994,11259,11672,0.0588,011672,WMT,Walmart Inc.,0000104169,5331,TJX,TJX Companies Inc.
4864,011264,1994,11264,6502,0.002,006502,WBA,Walgreens Boots Alliance Inc.,0001618921,5912,KR,Kroger Co.
4877,011672,1994,11672,2184,0.0729,002184,TJX,TJX Companies Inc.,0000109198,5651,BBY,Best Buy Co. Inc.
4888,011672,1994,11672,4016,0.0299,004016,TJX,TJX Companies Inc.,0000109198,5651,DG,Dollar General Corp.
4900,011672,1994,11672,6502,0.0382,006502,TJX,TJX Companies Inc.,0000109198,5651,KR,Kroger Co.
4905,011672,1994,11672,7241,0.0645,007241,TJX,TJX Companies Inc.,0000109198,5651,CVS,CVS Health Corp.
4930,011672,1994,11672,11259,0.0588,011259,TJX,TJX Companies Inc.,0000109198,5651,WMT,Walmart Inc.
5026,012141,1994,12141,1690,0.0605,001690,MSFT,Microsoft Corp.,0000789019,7372,AAPL,Apple Inc.
5327,001690,1995,1690,12141,0.029,012141,AAPL,Apple Inc.,0000320193,3571,MSFT,Microsoft Corp.
5413,002184,1995,2184,5680,0.0096,005680,BBY,Best Buy Co. Inc.,0000764478,5731,HD,Home Depot Inc.
5424,002184,1995,2184,11672,0.032,011672,BBY,Best Buy Co. Inc.,0000764478,5731,TJX,TJX Companies Inc.
5524,004016,1995,4016,11672,0.0373,011672,DG,Dollar General Corp.,0000029534,5331,TJX,TJX Companies Inc.
5545,004016,1995,4016,31587,0.0211,031587,DG,Dollar General Corp.,0000029534,5331,DLTR,Dollar Tree Inc.
5562,005680,1995,5680,2184,0.0096,002184,HD,Home Depot Inc.,0000354950,5251,BBY,Best Buy Co. Inc.
5616,006502,1995,6502,11259,0.0714,011259,KR,Kroger Co.,0000056873,5411,WMT,Walmart Inc.
5619,006502,1995,6502,11672,0.0298,011672,KR,Kroger Co.,0000056873,5411,TJX,TJX Companies Inc.
5726,007241,1995,7241,11672,0.0651,011672,CVS,CVS Health Corp.,0000064803,5912,TJX,TJX Companies Inc.
5755,011259,1995,11259,6502,0.0714,006502,WMT,Walmart Inc.,0000104169,5331,KR,Kroger Co.
5771,011259,1995,11259,11264,0.0045,011264,WMT,Walmart Inc.,0000104169,5331,WBA,Walgreens Boots Alliance Inc.
5772,011259,1995,11259,11672,0.0504,011672,WMT,Walmart Inc.,0000104169,5331,TJX,TJX Companies Inc.
5812,011264,1995,11264,11259,0.0045,011259,WBA,Walgreens Boots Alliance Inc.,0001618921,5912,WMT,Walmart Inc.
5820,011672,1995,11672,2184,0.032,002184,TJX,TJX Companies Inc.,0000109198,5651,BBY,Best Buy Co. Inc.
5834,011672,1995,11672,4016,0.0373,004016,TJX,TJX Companies Inc.,0000109198,5651,DG,Dollar General Corp.
5847,011672,1995,11672,6502,0.0298,006502,TJX,TJX Companies Inc.,0000109198,5651,KR,Kroger Co.
5853,011672,1995,11672,7241,0.0651,007241,TJX,TJX Companies Inc.,0000109198,5651,CVS,CVS Health Corp.
5876,011672,1995,11672,11259,0.0504,011259,TJX,TJX Companies Inc.,0000109198,5651,WMT,Walmart Inc.
5975,012141,1995,12141,1690,0.029,001690,MSFT,Microsoft Corp.,0000789019,7372,AAPL,Apple Inc.
6302,031587,1995,31587,4016,0.0211,004016,DLTR,Dollar Tree Inc.,0000935703,5331,DG,Dollar General Corp.
6412,001690,1996,1690,12141,0.0178,012141,AAPL,Apple Inc.,0000320193,3571,MSFT,Microsoft Corp.
6491,002184,1996,2184,5680,0.0114,005680,BBY,Best Buy Co. Inc.,0000764478,5731,HD,Home Depot Inc.
6506,002184,1996,2184,11259,0.0185,011259,BBY,Best Buy Co. Inc.,0000764478,5731,WMT,Walmart Inc.
6508,002184,1996,2184,11672,0.0638,011672,BBY,Best Buy Co. Inc.,0000764478,5731,TJX,TJX Companies Inc.
6594,002184,1996,2184,31587,0.0113,031587,BBY,Best Buy Co. Inc.,0000764478,5731,DLTR,Dollar Tree Inc.
6628,004016,1996,4016,7241,0.0062,007241,DG,Dollar General Corp.,0000029534,5331,CVS,CVS Health Corp.
6639,004016,1996,4016,11672,0.054,011672,DG,Dollar General Corp.,0000029534,5331,TJX,TJX Companies Inc.
6684,004016,1996,4016,31587,0.0858,031587,DG,Dollar General Corp.,0000029534,5331,DLTR,Dollar Tree Inc.
6712,004611,1996,4611,11672,0.0492,011672,M,Macys Inc.,0000794367,5311,TJX,TJX Companies Inc.
6733,005680,1996,5680,2184,0.0114,002184,HD,Home Depot Inc.,0000354950,5251,BBY,Best Buy Co. Inc.
6770,006502,1996,6502,11259,0.0968,011259,KR,Kroger Co.,0000056873,5411,WMT,Walmart Inc.
6771,006502,1996,6502,11264,0.0283,011264,KR,Kroger Co.,0000056873,5411,WBA,Walgreens Boots Alliance Inc.
6773,006502,1996,6502,11672,0.0351,011672,KR,Kroger Co.,0000056873,5411,TJX,TJX Companies Inc.
6819,007241,1996,7241,4016,0.0062,004016,CVS,CVS Health Corp.,0000064803,5912,DG,Dollar General Corp.
6832,007241,1996,7241,11672,0.0617,011672,CVS,CVS Health Corp.,0000064803,5912,TJX,TJX Companies Inc.
6865,007241,1996,7241,31587,0.0153,031587,CVS,CVS Health Corp.,0000064803,5912,DLTR,Dollar Tree Inc.
6874,011259,1996,11259,2184,0.0185,002184,WMT,Walmart Inc.,0000104169,5331,BBY,Best Buy Co. Inc.
6885,011259,1996,11259,6502,0.0968,006502,WMT,Walmart Inc.,0000104169,5331,KR,Kroger Co.
6897,011259,1996,11259,11264,0.03,011264,WMT,Walmart Inc.,0000104169,5331,WBA,Walgreens Boots Alliance Inc.
6898,011259,1996,11259,11672,0.0896,011672,WMT,Walmart Inc.,0000104169,5331,TJX,TJX Companies Inc.
6945,011264,1996,11264,6502,0.0283,006502,WBA,Walgreens Boots Alliance Inc.,0001618921,5912,KR,Kroger Co.
6951,011264,1996,11264,11259,0.03,011259,WBA,Walgreens Boots Alliance Inc.,0001618921,5912,WMT,Walmart Inc.
6962,011672,1996,11672,2184,0.0638,002184,TJX,TJX Companies Inc.,0000109198,5651,BBY,Best Buy Co. Inc.
6975,011672,1996,11672,4016,0.054,004016,TJX,TJX Companies Inc.,0000109198,5651,DG,Dollar General Corp.
6985,011672,1996,11672,4611,0.0492,004611,TJX,TJX Companies Inc.,0000109198,5651,M,Macys Inc.
6997,011672,1996,11672,6502,0.0351,006502,TJX,TJX Companies Inc.,0000109198,5651,KR,Kroger Co.
7003,011672,1996,11672,7241,0.0617,007241,TJX,TJX Companies Inc.,0000109198,5651,CVS,CVS Health Corp.
7029,011672,1996,11672,11259,0.0896,011259,TJX,TJX Companies Inc.,0000109198,5651,WMT,Walmart Inc.
7157,012141,1996,12141,1690,0.0178,001690,MSFT,Microsoft Corp.,0000789019,7372,AAPL,Apple Inc.
7552,031587,1996,31587,2184,0.0113,002184,DLTR,Dollar Tree Inc.,0000935703,5331,BBY,Best Buy Co. Inc.
7562,031587,1996,31587,4016,0.0858,004016,DLTR,Dollar Tree Inc.,0000935703,5331,DG,Dollar General Corp.
7571,031587,1996,31587,7241,0.0153,007241,DLTR,Dollar Tree Inc.,0000935703,5331,CVS,CVS Health Corp.
7737,002184,1997,2184,11259,0.0008,011259,BBY,Best Buy Co. Inc.,0000764478,5731,WMT,Walmart Inc.
7738,002184,1997,2184,11672,0.0516,011672,BBY,Best Buy Co. Inc.,0000764478,5731,TJX,TJX Companies Inc.
7843,004016,1997,4016,11259,0.0131,011259,DG,Dollar General Corp.,0000029534,5331,WMT,Walmart Inc.
7844,004016,1997,4016,11672,0.0267,011672,DG,Dollar General Corp.,0000029534,5331,TJX,TJX Companies Inc.
7874,004016,1997,4016,31587,0.0309,031587,DG,Dollar General Corp.,0000029534,5331,DLTR,Dollar Tree Inc.
7905,004611,1997,4611,11672,0.029,011672,M,Macys Inc.,0000794367,5311,TJX,TJX Companies Inc.
7968,006502,1997,6502,11259,0.0815,011259,KR,Kroger Co.,0000056873,5411,WMT,Walmart Inc.
7969,006502,1997,6502,11264,0.0004,011264,KR,Kroger Co.,0000056873,5411,WBA,Walgreens Boots Alliance Inc.
7972,006502,1997,6502,11672,0.0165,011672,KR,Kroger Co.,0000056873,5411,TJX,TJX Companies Inc.
8023,007241,1997,7241,11672,0.0653,011672,CVS,CVS Health Corp.,0000064803,5912,TJX,TJX Companies Inc.
8067,011259,1997,11259,2184,0.0008,002184,WMT,Walmart Inc.,0000104169,5331,BBY,Best Buy Co. Inc.
8072,011259,1997,11259,4016,0.0131,004016,WMT,Walmart Inc.,0000104169,5331,DG,Dollar General Corp.
8079,011259,1997,11259,6502,0.0815,006502,WMT,Walmart Inc.,0000104169,5331,KR,Kroger Co.
8088,011259,1997,11259,11264,0.0035,011264,WMT,Walmart Inc.,0000104169,5331,WBA,Walgreens Boots Alliance Inc.
8089,011259,1997,11259,11672,0.0894,011672,WMT,Walmart Inc.,0000104169,5331,TJX,TJX Companies Inc.
8123,011264,1997,11264,6502,0.0004,006502,WBA,Walgreens Boots Alliance Inc.,0001618921,5912,KR,Kroger Co.
8129,011264,1997,11264,11259,0.0035,011259,WBA,Walgreens Boots Alliance Inc.,0001618921,5912,WMT,Walmart Inc.
8135,011672,1997,11672,2184,0.0516,002184,TJX,TJX Companies Inc.,0000109198,5651,BBY,Best Buy Co. Inc.
8146,011672,1997,11672,4016,0.0267,004016,TJX,TJX Companies Inc.,0000109198,5651,DG,Dollar General Corp.
8152,011672,1997,11672,4611,0.029,004611,TJX,TJX Companies Inc.,0000109198,5651,M,Macys Inc.
8162,011672,1997,11672,6502,0.0165,006502,TJX,TJX Companies Inc.,0000109198,5651,KR,Kroger Co.
8166,011672,1997,11672,7241,0.0653,007241,TJX,TJX Companies Inc.,0000109198,5651,CVS,CVS Health Corp.
8191,011672,1997,11672,11259,0.0894,011259,TJX,TJX Companies Inc.,0000109198,5651,WMT,Walmart Inc.
8668,031587,1997,31587,4016,0.0309,004016,DLTR,Dollar Tree Inc.,0000935703,5331,DG,Dollar General Corp.
8790,001690,1998,1690,12141,0.0372,012141,AAPL,Apple Inc.,0000320193,3571,MSFT,Microsoft Corp.
8850,002184,1998,2184,11259,0.0097,011259,BBY,Best Buy Co. Inc.,0000764478,5731,WMT,Walmart Inc.
8851,002184,1998,2184,11672,0.0768,011672,BBY,Best Buy Co. Inc.,0000764478,5731,TJX,TJX Companies Inc.
8947,004016,1998,4016,31587,0.0156,031587,DG,Dollar General Corp.,0000029534,5331,DLTR,Dollar Tree Inc.
8963,004611,1998,4611,11672,0.0015,011672,M,Macys Inc.,0000794367,5311,TJX,TJX Companies Inc.
8981,005680,1998,5680,11672,0.0069,011672,HD,Home Depot Inc.,0000354950,5251,TJX,TJX Companies Inc.
9019,007241,1998,7241,11264,0.0824,011264,CVS,CVS Health Corp.,0000064803,5912,WBA,Walgreens Boots Alliance Inc.
9021,007241,1998,7241,11672,0.0481,011672,CVS,CVS Health Corp.,0000064803,5912,TJX,TJX Companies Inc.
9055,011259,1998,11259,2184,0.0097,002184,WMT,Walmart Inc.,0000104169,5331,BBY,Best Buy Co. Inc.
9078,011259,1998,11259,11264,0.0186,011264,WMT,Walmart Inc.,0000104169,5331,WBA,Walgreens Boots Alliance Inc.
9081,011259,1998,11259,11672,0.0746,011672,WMT,Walmart Inc.,0000104169,5331,TJX,TJX Companies Inc.
9110,011264,1998,11264,7241,0.0824,007241,WBA,Walgreens Boots Alliance Inc.,0001618921,5912,CVS,CVS Health Corp.
9114,011264,1998,11264,11259,0.0186,011259,WBA,Walgreens Boots Alliance Inc.,0001618921,5912,WMT,Walmart Inc.
9124,011672,1998,11672,2184,0.0768,002184,TJX,TJX Companies Inc.,0000109198,5651,BBY,Best Buy Co. Inc.
9138,011672,1998,11672,4611,0.0015,004611,TJX,TJX Companies Inc.,0000109198,5651,M,Macys Inc.
9146,011672,1998,11672,5680,0.0069,005680,TJX,TJX Companies Inc.,0000109198,5651,HD,Home Depot Inc.
9151,011672,1998,11672,7241,0.0481,007241,TJX,TJX Companies Inc.,0000109198,5651,CVS,CVS Health Corp.
9169,011672,1998,11672,11259,0.0746,011259,TJX,TJX Companies Inc.,0000109198,5651,WMT,Walmart Inc.
9267,012141,1998,12141,1690,0.0372,001690,MSFT,Microsoft Corp.,0000789019,7372,AAPL,Apple Inc.
9648,031587,1998,31587,4016,0.0156,004016,DLTR,Dollar Tree Inc.,0000935703,5331,DG,Dollar General Corp.
9805,001690,1999,1690,12141,0.0368,012141,AAPL,Apple Inc.,0000320193,3571,MSFT,Microsoft Corp.
9886,002184,1999,2184,6829,0.0008,006829,BBY,Best Buy Co. Inc.,0000764478,5731,LOW,Lowes Companies Inc.
9895,002184,1999,2184,11672,0.085,011672,BBY,Best Buy Co. Inc.,0000764478,5731,TJX,TJX Companies Inc.
9942,002184,1999,2184,31587,0.0017,031587,BBY,Best Buy Co. Inc.,0000764478,5731,DLTR,Dollar Tree Inc.
9976,004016,1999,4016,31587,0.0228,031587,DG,Dollar General Corp.,0000029534,5331,DLTR,Dollar Tree Inc.
9996,005680,1999,5680,6829,0.0358,006829,HD,Home Depot Inc.,0000354950,5251,LOW,Lowes Companies Inc.
10002,006829,1999,6829,2184,0.0008,002184,LOW,Lowes Companies Inc.,0000060667,5251,BBY,Best Buy Co. Inc.
10005,006829,1999,6829,5680,0.0358,005680,LOW,Lowes Companies Inc.,0000060667,5251,HD,Home Depot Inc.
10041,007241,1999,7241,11264,0.0723,011264,CVS,CVS Health Corp.,0000064803,5912,WBA,Walgreens Boots Alliance Inc.
10043,007241,1999,7241,11672,0.0305,011672,CVS,CVS Health Corp.,0000064803,5912,TJX,TJX Companies Inc.
10083,011259,1999,11259,11264,0.0206,011264,WMT,Walmart Inc.,0000104169,5331,WBA,Walgreens Boots Alliance Inc.
10087,011259,1999,11259,11672,0.0759,011672,WMT,Walmart Inc.,0000104169,5331,TJX,TJX Companies Inc.
10115,011264,1999,11264,7241,0.0723,007241,WBA,Walgreens Boots Alliance Inc.,0001618921,5912,CVS,CVS Health Corp.
10119,011264,1999,11264,11259,0.0206,011259,WBA,Walgreens Boots Alliance Inc.,0001618921,5912,WMT,Walmart Inc.
10128,011672,1999,11672,2184,0.085,002184,TJX,TJX Companies Inc.,0000109198,5651,BBY,Best Buy Co. Inc.
10150,011672,1999,11672,7241,0.0305,007241,TJX,TJX Companies Inc.,0000109198,5651,CVS,CVS Health Corp.
10168,011672,1999,11672,11259,0.0759,011259,TJX,TJX Companies Inc.,0000109198,5651,WMT,Walmart Inc.
