,gvkey_focal,year,gvkey1,gvkey2,score,gvkey_peer,focal_ticker,focal_company_name,focal_cik,focal_primary_sic,peer_ticker,peer_company_name
16073,001690,2006,1690,160329,0.0023,160329,AAPL,Apple Inc.,0000320193,3571,GOOGL,Alphabet Inc.
16087,002184,2006,2184,4016,0.0025,004016,BBY,Best Buy Co. Inc.,0000764478,5731,DG,Dollar General Corp.
16095,002184,2006,2184,11259,0.0051,011259,BBY,Best Buy Co. Inc.,0000764478,5731,WMT,Walmart Inc.
16096,002184,2006,2184,11672,0.0646,011672,BBY,Best Buy Co. Inc.,0000764478,5731,TJX,TJX Companies Inc.
16108,002184,2006,2184,31587,0.0064,031587,BBY,Best Buy Co. Inc.,0000764478,5731,DLTR,Dollar Tree Inc.
16127,003813,2006,3813,6502,0.0204,006502,TGT,Target Corp.,0000027419,5331,KR,Kroger Co.
16132,004016,2006,4016,2184,0.0025,002184,DG,Dollar General Corp.,0000029534,5331,BBY,Best Buy Co. Inc.
16141,004016,2006,4016,6502,0.0025,006502,DG,Dollar General Corp.,0000029534,5331,KR,Kroger Co.
16143,004016,2006,4016,6829,0.0037,006829,DG,Dollar General Corp.,0000029534,5331,LOW,Lowes Companies Inc.
16148,004016,2006,4016,11259,0.0473,011259,DG,Dollar General Corp.,0000029534,5331,WMT,Walmart Inc.
16150,004016,2006,4016,11672,0.0467,011672,DG,Dollar General Corp.,0000029534,5331,TJX,TJX Companies Inc.
16165,004016,2006,4016,31587,0.054,031587,DG,Dollar General Corp.,0000029534,5331,DLTR,Dollar Tree Inc.
16196,005680,2006,5680,6829,0.0224,006829,HD,Home Depot Inc.,0000354950,5251,LOW,Lowes Companies Inc.
16201,006502,2006,6502,3813,0.0204,003813,KR,Kroger Co.,0000056873,5411,TGT,Target Corp.
16203,006502,2006,6502,4016,0.0025,004016,KR,Kroger Co.,0000056873,5411,DG,Dollar General Corp.
16211,006502,2006,6502,11259,0.0394,011259,KR,Kroger Co.,0000056873,5411,WMT,Walmart Inc.
16223,006829,2006,6829,4016,0.0037,004016,LOW,Lowes Companies Inc.,0000060667,5251,DG,Dollar General Corp.
16225,006829,2006,6829,5680,0.0224,005680,LOW,Lowes Companies Inc.,0000060667,5251,HD,Home Depot Inc.
16228,006829,2006,6829,11672,0.0056,011672,LOW,Lowes Companies Inc.,0000060667,5251,TJX,TJX Companies Inc.
